Teams,Stage,Partidos jugados,Total goals favour,Total goals against,Goals favour per game,Goals against per game,Accuracy,Shots total,Shots total on target,Shots per game,Shots on target per game,Shots Total against,Shots against per game,Possession average,Yellow cards total,Yellow cards per game,Red cards total,Red cards per game,Subs per game
Austria,Round of 16,4,5,5,1.25,1.25,35.71,53,14,13.25,3.5,53,13.25,53.5,6,1.5,0,0.0,4.75
Belgium,Quarter-finals,5,9,3,1.8,0.6,42.86,48,21,9.6,4.2,70,14.0,53.8,4,0.8,0,0.0,3.6
Croatia,Round of 16,4,7,8,1.75,2.0,41.18,42,17,10.5,4.25,53,13.25,49.5,7,1.75,0,0.0,4.5
Czech Republic,Quarter-finals,5,6,4,1.2,0.8,31.58,56,19,11.2,3.8,52,10.4,48.2,7,1.4,0,0.0,5.0
Denmark,Semi-finals,6,12,7,2.0,1.17,30.77,92,39,15.33,6.5,60,10.0,53.33,5,0.83,0,0.0,5.17
England,Final,7,11,2,1.57,0.29,39.29,63,28,9.0,4.0,67,9.57,51.0,6,0.86,0,0.0,3.71
Finland,Group stage: Matchday 3,3,1,3,0.33,1.0,33.33,19,3,6.33,1.0,53,17.67,36.67,4,1.33,0,0.0,4.33
France,Round of 16,4,7,6,1.75,1.5,38.89,56,18,14.0,4.5,37,9.25,53.25,8,2.0,0,0.0,3.5
Germany,Round of 16,4,6,7,1.5,1.75,33.33,49,18,12.25,4.5,25,6.25,62.75,7,1.75,0,0.0,4.5
Hungary,Group stage: Matchday 3,3,3,6,1.0,2.0,30.0,19,10,6.33,3.33,44,14.67,29.0,6,2.0,0,0.0,4.0
Italy,Final,7,13,4,1.86,0.57,36.11,127,36,18.14,5.14,60,8.57,54.86,12,1.71,0,0.0,5.29
Netherlands,Round of 16,4,8,4,2.0,1.0,44.44,52,18,13.0,4.5,41,10.25,54.75,3,0.75,1,0.25,4.75
North Macedonia,Group stage: Matchday 3,3,2,8,0.67,2.67,25.0,33,8,11.0,2.67,44,14.67,41.67,8,2.67,0,0.0,4.67
Poland,Group stage: Matchday 3,3,4,6,1.33,2.0,36.36,40,11,13.33,3.67,34,11.33,49.33,7,2.33,1,0.33,4.0
Portugal,Round of 16,4,7,7,1.75,1.75,38.89,51,18,12.75,4.5,34,8.5,54.25,4,1.0,0,0.0,4.5
Russia,Group stage: Matchday 3,3,2,7,0.67,2.33,33.33,25,6,8.33,2.0,36,12.0,42.33,5,1.67,0,0.0,4.33
Scotland,Group stage: Matchday 3,3,1,5,0.33,1.67,11.11,41,9,13.67,3.0,30,10.0,43.33,3,1.0,0,0.0,3.67
Slovakia,Group stage: Matchday 3,3,2,7,0.67,2.33,100.0,24,2,8.0,0.67,49,16.33,45.0,6,2.0,0,0.0,5.0
Spain,Semi-finals,6,13,6,2.17,1.0,29.55,115,44,19.17,7.33,39,6.5,73.5,6,1.0,0,0.0,5.33
Sweden,Round of 16,4,5,4,1.25,1.0,41.67,41,12,10.25,3.0,60,15.0,33.25,5,1.25,1,0.25,5.0
Switzerland,Quarter-finals,5,8,9,1.6,1.8,36.36,67,22,13.4,4.4,95,19.0,47.8,11,2.2,1,0.2,4.8
Turkey,Group stage: Matchday 3,3,1,8,0.33,2.67,8.33,40,12,13.33,4.0,63,21.0,49.67,7,2.33,0,0.0,4.67
Ukraine,Quarter-finals,5,6,10,1.2,2.0,30.0,51,20,10.2,4.0,69,13.8,49.0,4,0.8,0,0.0,3.4
Wales,Round of 16,4,3,6,0.75,1.5,27.27,39,11,9.75,2.75,75,18.75,37.0,9,2.25,2,0.5,3.5
